년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시
2024,12,31,153071,107481,74743,32738,43.8,2024/12/31(09:00)
2024,12,30,153071,109425,79015,30410,38.5,2024/12/30(10:00)
2024,12,29,153071,107042,66449,40593,61.1,2024/12/29(19:00)
2024,12,28,153071,103371,68926,34445,50,2024/12/28(19:00)
2024,12,27,153071,109010,81190,27820,34.3,2024/12/27(09:00)
2024,12,26,153071,108778,80251,28527,35.5,2024/12/26(10:00)
2024,12,25,153047,104570,69280,35290,50.9,2024/12/25(19:00)
2024,12,24,153047,105243,82612,22631,27.4,2024/12/24(09:00)
2024,12,23,153047,106073,82905,23168,27.9,2024/12/23(10:00)
2024,12,22,153047,103668,68638,35030,51,2024/12/22(19:00)
2024,12,21,153047,103228,69530,33698,48.5,2024/12/21(18:00)
2024,12,20,153047,108789,82424,26365,32,2024/12/20(10:00)
2024,12,19,153047,106287,83314,22973,27.6,2024/12/19(09:00)
2024,12,18,153047,107106,82457,24649,29.9,2024/12/18(18:00)
2024,12,17,152833,108091,81060,27031,33.3,2024/12/17(09:00)
2024,12,16,152833,106749,81607,25142,30.8,2024/12/16(17:00)
2024,12,15,152833,103405,66671,36734,55.1,2024/12/15(19:00)
2024,12,14,152833,104957,68123,36834,54.1,2024/12/14(19:00)
2024,12,13,152833,106738,81020,25718,31.7,2024/12/13(10:00)
2024,12,12,152833,102817,79296,23521,29.7,2024/12/12(09:00)
2024,12,11,152833,102231,79778,22453,28.1,2024/12/11(10:00)
2024,12,10,152821,101819,78819,23000,29.2,2024/12/10(09:00)
2024,12,09,152821,102572,79009,23563,29.8,2024/12/09(18:00)
2024,12,08,152821,99544,65834,33710,51.2,2024/12/08(19:00)
2024,12,07,152821,97949,65961,31988,48.5,2024/12/07(19:00)
2024,12,06,152821,103473,75454,28019,37.1,2024/12/06(18:00)
2024,12,05,152821,103447,76375,27072,35.4,2024/12/05(09:00)
2024,12,04,152821,104115,76065,28050,36.9,2024/12/04(09:00)
2024,12,03,152821,104117,77669,26448,34.1,2024/12/03(18:00)
2024,12,02,152821,102942,74384,28558,38.4,2024/12/02(18:00)
2024,12,01,152821,98520,62792,35728,56.9,2024/12/01(19:00)
2024,11,30,151707,96624,63782,32842,51.5,2024/11/30(19:00)
2024,11,29,151707,97786,76785,21001,27.4,2024/11/29(17:00)
2024,11,28,151707,97527,77085,20442,26.5,2024/11/28(17:00)
2024,11,27,151707,97490,79064,18426,23.3,2024/11/27(11:00)
2024,11,26,151694,95279,74829,20450,27.3,2024/11/26(18:00)
2024,11,25,151694,94787,71647,23140,32.3,2024/11/25(18:00)
2024,11,24,151694,93637,61350,32287,52.6,2024/11/24(19:00)
2024,11,23,151694,94875,62101,32774,52.8,2024/11/23(19:00)
2024,11,22,151694,98393,70524,27869,39.5,2024/11/22(18:00)
2024,11,21,151694,96478,71709,24769,34.5,2024/11/21(18:00)
2024,11,20,151694,96669,72295,24374,33.7,2024/11/20(17:00)
2024,11,19,151393,97701,72232,25469,35.3,2024/11/19(18:00)
2024,11,18,151393,98362,72217,26145,36.2,2024/11/18(18:00)
